Channels,Fraud,Total,Percentage
UCgAO754g9e3zwtyQGlfoqEg,1,1,100
UClJWt3Qm1482-6hteliV26A,1,1,100
UCZMFJ5xqrihVch2r-ujCDfA,18,50,36
UC88PmB8BA8uoTm6yevQkLUQ,1,2,50
UC0aScUpD2eIFPRPbjcbapIg,1,1,100
UC1HlxQObFheA6fW-xfXeY1g,1,1,100
UC2i4zxEDw1XwHFtY4Vlzc-Q,4,5,80
UCFqanUMpCMh54RmqRFh8hZw,1,1,100
UCr_Q3aWAz00vUEfca7Lw2Bw,1,1,100
UC29st7hpURX7Q--ikOqSqdw,1,1,100
UC6YesFz-e2fE8Gglxsvbflw,1,1,100
UCJRgdU8QeOEh_kWeSacCvUg,2,5,40
UCcuwGE7nBdDkHAxLNdmsetQ,1,2,50
UCiOhjLaUTA8vDCT1FWBxVHg,1,1,100
UCkVbMXrd2EXzM9sABcWTjEg,12,14,85.71428571
UCZvdNECgcn5UzGE8d01FzLw,1,1,100
UCom7mj2prVZhCe3rnh_oU6w,2,3,66.66666667
UCJf_jzQuav0gEx4Xm64Jbkw,1,2,50
UCY__JXfCOJbuR-_7Nfsw0Pg,1,1,100
UCmTXkrOZMDPFNbqKcVBrogA,1,1,100
UCbozz7rMRwN0938oyHfhsng,1,2,50
UC6R67O-pgg-uCvKgcdZpDBg,2,3,66.66666667
UCD39F5xPPJixJgfR5vvXkfA,1,1,100
UCAPu9vozdGPktYSzUb42ysw,1,1,100
UCYjmZOHABanxsYpr0EXFiNQ,1,1,100
